State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
IN,265284,262745,277217,284318,289382,300042,316147,326392,342193,359239,377796,391294,424550,441971,430689,429976,445748,453325,463957,470907,441657,446984,432620,439574,513196,520787,552469,578042,562368,577378,581671,567839,558794,580696,603534,621793,607597,608935,613596,629856,658504,603613,648275,671909,639334,644040,656664,641109,601725,581204,589588,581270,569694,596864,609528,611804,609662,584850,574822,572585
KS,172858,178233,176565,193960,178331,197148,209458,214514,228465,236882,250710,256558,273146,269163,271331,269148,273595,268827,286644,288878,279218,266030,255159,246221,257072,268172,273068,278352,294398,285614,280304,260471,255948,260226,247301,274175,273318,271115,270026,285477,269988,251278,260526,285806,273226,258189,272773,279483,276308,285206,272141,264919,262047,279102,299212,275720,271697,264633,281117,284333
KY,153635,153410,169687,180892,187832,191777,205416,214533,232321,247884,261341,265443,284282,297055,287068,288098,302855,309564,333814,342198,324017,323231,318534,332803,337644,323387,344232,358877,386223,404451,379595,378096,393921,407849,405793,421760,396465,427334,424989,440965,441204,447996,463165,448304,484328,475848,472847,493949,458383,465340,474008,469818,454226,453031,461358,467914,468348,476673,500580,498205
LA,256944,253709,255773,267091,283681,311121,318865,340713,358477,385716,392151,390660,425494,474451,509274,511108,546644,585309,588509,581423,646701,661774,580654,599636,598755,585795,661328,652242,694276,693330,690571,725547,725753,723701,764489,764491,834585,801668,781161,776293,854201,753070,775112,771859,756504,716731,770758,710076,673737,667267,607671,622556,564410,550152,527984,534889,567610,611866,578848,616169
MA,220223,232639,242221,252038,254929,268600,271133,290677,313736,324262,348866,362542,379915,391349,371093,369400,380724,385290,386801,385655,358305,359128,362384,362472,370142,381532,389179,403559,420664,420228,406751,389342,386663,391048,394376,401591,419336,425617,426001,437786,452623,446665,448360,447348,473427,484827,478091,485796,478871,442953,460644,459868,451196,469175,454133,467920,479351,473442,480642,481481
MD,172937,172669,198195,199643,207162,217118,229080,225512,248291,255378,273132,273569,289740,303286,296987,297309,310253,321158,325821,318501,318826,323669,312847,305649,308196,317632,325874,338551,351166,360646,331362,336651,344087,342256,343278,348983,357970,368616,379129,399984,402664,404638,401249,416974,439335,457238,463513,457442,441273,457440,456277,443534,442455,447524,442302,454708,442744,442101,459540,463322
ME,66698,70106,70398,72081,71079,68812,75656,73728,80026,81208,87633,93187,108008,111181,96675,92405,97198,98683,98767,93555,83348,82477,85807,83798,89155,94003,100742,108321,122448,110119,115386,105823,104061,105456,107390,101923,105327,110610,107844,111710,119837,107045,121967,130781,121265,130726,130780,125114,116466,122086,116103,116065,110626,123946,125450,126005,126693,119841,106680,106410
MI,387291,388670,405877,429765,450804,467377,501020,526853,574018,606128,593490,607502,660210,688431,665594,660805,696664,712202,724044,690809,620136,600307,567289,577010,601213,614673,634968,667095,692249,685553,683927,695925,701060,738727,741775,760951,767783,782990,801137,837784,815945,802852,824677,795746,805720,803042,798193,789282,740516,723132,749856,736892,725628,756667,748586,770712,779443,767838,790737,781208
MN,181361,182477,185949,194347,197456,207273,221296,222770,244657,260291,274085,288738,302868,322903,317686,319516,326930,330760,348762,359554,331579,317753,306687,310839,340655,333044,336886,334133,348749,343924,339237,358208,380355,401059,416902,433207,443367,440457,463324,495464,512778,501577,511621,513789,528862,532604,522963,527437,502186,464316,468982,458085,465948,469614,471826,471947,495770,498582,498716,502951
MO,253774,255857,276089,282147,292306,304630,305174,322431,359165,370069,390887,403843,423903,428118,421345,424725,444349,456659,468827,446792,410564,399232,404843,409781,420918,430001,449790,459201,476640,483578,477139,474217,491151,505757,520029,539990,566697,578792,627750,620745,555307,555090,570990,593183,576876,590778,594797,601544,574301,559845,576496,563706,544525,549433,558250,558486,569641,565686,566088,567093
MS,129284,129426,141230,153210,157763,161776,168991,176286,198757,210252,216001,228125,240855,251348,246921,231074,234643,248691,258179,258528,260868,257914,252704,241494,243198,250723,269475,294124,308474,288807,291495,315059,327507,329774,331430,335696,340820,350986,352206,370166,359299,348223,354481,376154,363590,356810,376532,372681,360998,356080,331771,321859,347785,315053,318559,334237,340739,333442,335769,342707
MT,58237,61779,60378,58193,57799,57766,62119,56816,61677,66235,68133,71279,75979,83795,85511,82156,88270,85826,97496,91657,88911,83829,80847,83360,82805,81484,81233,82080,84305,82922,81965,81075,87906,90766,94515,98500,97001,99053,99527,103986,105831,107460,107757,102751,110574,117881,120853,126822,117753,112336,116776,117832,114947,117302,113121,111128,116133,118101,118659,116497
NC,231966,243042,249869,264626,274217,279390,295241,307337,328939,348128,364046,374922,399104,426207,426363,423769,442970,463617,483389,480386,443752,448448,448510,468538,478735,493450,519831,544494,575667,549735,537113,530406,539320,559650,579176,601138,638394,649491,664594,679167,702536,692570,700774,714571,735478,748795,739578,758070,756174,699863,757547,737639,716152,738404,750012,765868,787401,795129,807206,824551
ND,41695,40677,46790,47514,48313,47312,49886,52606,57642,55525,54265,58251,60802,62694,60288,63051,65875,70600,73158,72991,72472,72620,73199,69206,70543,68752,66907,67693,68573,67317,65276,66390,69684,73265,72715,72855,74552,75700,66695,81957,80608,87900,87666,89108,92170,92118,91476,103621,93261,86895,98166,112880,129119,134047,144247,133107,120536,129269,136198,131355
