Area Name,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Idaho,"707,000","717,255","738,749","763,229","782,061","807,973","831,981","856,979","883,446","910,962","932,636","947,983","962,204","973,719","981,866","990,841","994,052","990,222","984,997","985,661","994,422","1,012,384","1,041,316","1,071,685","1,108,768","1,145,140","1,177,322","1,203,083","1,228,520","1,252,330","1,275,674","1,299,430","1,319,962","1,340,372","1,363,380","1,391,802","1,428,241","1,468,669","1,505,105","1,534,320","1,554,439"
Illinois,"11,039,000","11,124,681","11,205,816","11,258,111","11,260,248","11,273,745","11,306,351","11,360,274","11,406,312","11,434,421","11,422,782","11,434,702","11,443,461","11,423,413","11,408,817","11,412,128","11,399,803","11,387,256","11,391,176","11,390,186","11,409,782","11,453,316","11,568,964","11,694,184","11,809,579","11,912,585","12,008,437","12,101,997","12,185,715","12,271,847","12,359,020","12,434,161","12,488,445","12,525,556","12,556,006","12,589,773","12,609,903","12,643,955","12,695,866","12,747,038","12,796,778"
Indiana,"5,143,000","5,203,700","5,249,921","5,296,129","5,329,122","5,349,886","5,351,080","5,371,552","5,405,075","5,446,403","5,474,909","5,490,721","5,480,440","5,467,918","5,450,396","5,458,322","5,459,214","5,454,103","5,473,023","5,491,733","5,523,679","5,557,798","5,616,388","5,674,547","5,739,019","5,793,526","5,851,459","5,906,013","5,955,267","5,998,880","6,044,969","6,091,866","6,127,760","6,155,967","6,196,638","6,233,007","6,278,616","6,332,669","6,379,599","6,424,806","6,459,325"
Iowa,"2,805,000","2,828,534","2,851,828","2,860,506","2,864,031","2,867,941","2,881,425","2,903,770","2,914,308","2,919,008","2,916,803","2,914,018","2,907,985","2,888,190","2,870,547","2,858,615","2,829,684","2,791,969","2,767,006","2,768,393","2,770,590","2,781,018","2,797,613","2,818,401","2,836,972","2,850,746","2,867,373","2,880,000","2,891,119","2,902,872","2,917,634","2,929,067","2,931,997","2,934,234","2,941,999","2,953,635","2,964,454","2,982,644","2,999,212","3,016,734","3,032,870"
Kansas,"2,236,000","2,247,823","2,246,132","2,255,525","2,264,369","2,267,881","2,278,621","2,298,645","2,317,836","2,332,815","2,347,370","2,369,039","2,384,853","2,401,207","2,415,529","2,424,088","2,427,401","2,432,614","2,445,367","2,461,995","2,472,838","2,481,349","2,498,722","2,532,394","2,556,547","2,580,513","2,601,007","2,614,554","2,635,292","2,660,598","2,678,338","2,693,681","2,702,162","2,713,535","2,723,004","2,734,373","2,745,299","2,762,931","2,783,785","2,808,076","2,832,704"
Kentucky,"3,198,000","3,230,587","3,298,262","3,336,106","3,371,573","3,417,039","3,468,755","3,530,443","3,575,001","3,611,382","3,643,655","3,664,221","3,670,395","3,683,449","3,694,469","3,695,459","3,694,816","3,687,805","3,683,330","3,680,002","3,677,318","3,694,048","3,722,328","3,765,469","3,812,206","3,849,088","3,887,427","3,919,535","3,952,747","3,985,390","4,018,053","4,049,021","4,068,132","4,089,875","4,117,170","4,146,101","4,182,742","4,219,239","4,256,672","4,289,878","4,317,074"
Louisiana,"3,619,000","3,650,209","3,710,666","3,761,967","3,788,840","3,820,720","3,886,963","3,951,636","4,015,582","4,073,288","4,139,316","4,223,101","4,283,297","4,352,609","4,395,311","4,400,474","4,408,113","4,406,922","4,344,151","4,288,859","4,252,896","4,221,532","4,253,279","4,293,003","4,316,428","4,347,481","4,378,779","4,398,877","4,421,071","4,440,344","4,460,811","4,471,885","4,477,875","4,497,267","4,521,042","4,552,238","4,576,628","4,302,665","4,375,581","4,435,586","4,491,648"
Maine,"992,000","996,784","1,015,677","1,034,817","1,046,420","1,060,050","1,073,280","1,089,960","1,105,369","1,115,457","1,124,927","1,126,860","1,133,033","1,136,683","1,144,772","1,155,634","1,162,935","1,170,126","1,184,577","1,203,840","1,219,961","1,231,719","1,237,081","1,238,508","1,242,302","1,242,662","1,243,480","1,249,060","1,254,774","1,259,127","1,266,808","1,277,072","1,285,692","1,295,960","1,306,513","1,313,688","1,318,787","1,323,619","1,327,040","1,330,509","1,329,590"
Maryland,"3,868,000","3,938,051","4,022,507","4,081,121","4,109,038","4,133,341","4,157,208","4,172,132","4,194,639","4,211,641","4,223,398","4,227,643","4,261,905","4,282,923","4,313,329","4,365,246","4,413,072","4,486,956","4,565,558","4,657,903","4,727,303","4,799,770","4,867,641","4,923,368","4,971,889","5,023,060","5,070,033","5,111,986","5,157,328","5,204,464","5,254,509","5,311,034","5,374,691","5,440,389","5,496,269","5,546,935","5,592,379","5,627,367","5,653,408","5,684,965","5,730,388"
Massachusetts,"5,650,000","5,703,706","5,738,589","5,762,122","5,783,809","5,776,992","5,762,138","5,748,868","5,744,097","5,742,923","5,746,188","5,746,075","5,768,685","5,771,222","5,799,405","5,840,774","5,880,734","5,902,677","5,935,205","5,979,983","6,015,478","6,022,639","6,018,470","6,028,709","6,060,569","6,095,241","6,141,445","6,179,756","6,226,058","6,271,838","6,317,345","6,361,104","6,397,634","6,417,206","6,422,565","6,412,281","6,403,290","6,410,084","6,431,559","6,468,967","6,517,613"
