Area Name,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Washington,"3,343,000","3,417,362","3,446,958","3,446,815","3,477,227","3,547,877","3,618,824","3,690,561","3,772,360","3,886,191","4,012,831","4,154,678","4,235,728","4,276,551","4,300,269","4,343,657","4,400,096","4,452,724","4,531,903","4,639,894","4,746,315","4,903,043","5,025,624","5,160,757","5,278,842","5,375,161","5,481,027","5,569,753","5,674,747","5,769,562","5,842,564","5,910,512","5,985,722","6,052,349","6,104,115","6,178,645","6,257,305","6,370,753","6,461,587","6,562,231","6,667,426"
West Virginia,"1,746,000","1,746,629","1,770,252","1,796,910","1,805,293","1,814,048","1,840,548","1,877,440","1,905,628","1,920,342","1,939,062","1,951,349","1,954,125","1,949,605","1,945,058","1,927,696","1,906,831","1,882,352","1,857,583","1,830,213","1,806,570","1,792,548","1,798,735","1,806,451","1,817,539","1,820,421","1,823,700","1,822,808","1,819,113","1,815,609","1,811,799","1,807,021","1,801,481","1,805,414","1,812,295","1,816,438","1,820,492","1,827,912","1,834,052","1,840,310","1,847,775"
Wisconsin,"4,378,000","4,425,944","4,459,968","4,498,433","4,518,461","4,538,173","4,569,616","4,584,688","4,613,299","4,631,944","4,665,911","4,712,045","4,726,345","4,728,862","4,721,438","4,735,571","4,747,765","4,755,625","4,777,923","4,822,391","4,856,568","4,904,562","4,964,343","5,025,398","5,084,889","5,133,678","5,184,836","5,229,986","5,266,213","5,297,672","5,332,666","5,373,999","5,406,835","5,445,162","5,479,203","5,514,026","5,546,166","5,577,655","5,610,775","5,640,996","5,669,264"
Wyoming,"329,000","333,795","340,023","346,863","353,353","364,548","380,477","395,446","411,530","430,897","451,850","474,185","491,712","506,400","510,344","504,895","499,696","495,633","476,966","465,103","458,373","453,690","459,260","466,251","473,081","480,283","485,160","488,167","489,451","490,787","491,780","494,300","494,657","500,017","503,453","509,106","514,157","522,667","534,876","546,043","559,851"
New England,"11,735,000","11,878,088","11,996,218","12,087,834","12,147,736","12,156,540","12,176,402","12,207,302","12,257,357","12,302,714","12,345,269","12,371,656","12,435,782","12,467,917","12,544,350","12,641,838","12,740,544","12,833,004","12,951,233","13,084,523","13,181,740","13,229,502","13,247,630","13,271,045","13,334,364","13,396,380","13,472,634","13,554,814","13,642,197","13,733,828","13,837,653","13,949,721","14,041,043","14,122,441","14,182,454","14,206,683","14,216,656","14,245,540","14,279,205","14,340,115","14,403,575"
Mideast,"42,111,000","42,516,918","42,869,509","42,991,563","42,836,999","42,709,177","42,727,721","42,667,403","42,546,619","42,421,484","42,358,101","42,272,235","42,328,543","42,382,098","42,543,638","42,686,518","42,793,973","42,991,120","43,189,888","43,435,353","43,584,907","43,761,704","44,070,941","44,392,469","44,717,161","44,969,670","45,186,033","45,383,860","45,579,719","45,822,025","46,105,834","46,386,027","46,619,373","46,841,190","47,034,773","47,162,342","47,239,239","47,334,435","47,473,718","47,684,886","47,943,872"
Great Lakes,"39,904,000","40,319,722","40,622,322","40,824,274","40,946,800","41,036,791","41,105,385","41,186,726","41,353,165","41,510,152","41,610,978","41,693,671","41,647,869","41,492,474","41,366,046","41,393,218","41,417,995","41,455,030","41,589,687","41,720,866","41,872,543","42,091,157","42,495,903","42,902,625","43,274,741","43,589,980","43,923,694","44,239,468","44,493,603","44,727,877","44,969,225","45,216,019","45,401,564","45,550,284","45,707,787","45,844,372","45,949,142","46,071,573","46,187,992","46,275,120","46,355,854"
Plains,"16,202,000","16,349,829","16,474,813","16,562,762","16,628,032","16,671,561","16,742,551","16,863,608","16,949,656","17,028,437","17,097,176","17,207,567","17,264,245","17,291,648","17,325,258","17,382,070","17,401,690","17,392,728","17,427,930","17,533,255","17,595,235","17,697,550","17,843,335","18,026,179","18,209,613","18,380,746","18,549,556","18,705,269","18,851,351","18,988,053","19,130,836","19,275,412","19,374,967","19,468,009","19,569,167","19,687,933","19,802,730","19,956,982","20,105,697","20,248,815","20,392,583"
Southeast,"43,440,000","43,973,515","45,013,167","46,019,010","46,991,755","47,954,591","48,787,678","49,513,969","50,311,832","51,113,001","51,976,687","52,881,196","53,627,371","54,248,696","54,856,066","55,514,620","56,198,797","56,861,115","57,536,401","58,120,493","58,733,381","59,516,122","60,500,666","61,508,138","62,530,549","63,574,211","64,601,937","65,611,342","66,655,300","67,626,581","68,569,381","69,497,232","70,317,959","71,151,666","71,961,591","73,019,229","74,148,386","75,065,947","76,122,849","77,057,840","77,814,936"
Southwest,"16,328,000","16,621,375","17,076,950","17,502,870","17,942,658","18,354,229","18,789,070","19,269,802","19,710,280","20,180,482","20,776,513","21,426,140","21,985,332","22,791,219","23,405,364","23,776,476","24,165,954","24,584,827","24,747,513","24,859,623","25,083,118","25,411,251","25,917,326","26,491,437","27,115,790","27,772,489","28,419,852","29,019,737","29,625,063","30,239,551","30,827,272","31,380,654","31,891,889","32,430,969","32,923,761","33,475,468","34,098,071","34,944,948","35,624,083","36,269,039","36,899,289"
Rocky Mountain,"4,943,000","5,037,873","5,194,044","5,368,407","5,527,390","5,649,835","5,781,745","5,915,555","6,078,758","6,256,862","6,438,928","6,592,318","6,742,612","6,903,979","7,034,816","7,108,977","7,167,704","7,199,874","7,205,624","7,202,616","7,234,109","7,305,119","7,477,155","7,696,444","7,938,748","8,171,343","8,379,865","8,565,452","8,745,913","8,918,147","9,094,461","9,268,926","9,430,982","9,567,277","9,675,332","9,807,510","9,972,107","10,189,958","10,406,301","10,609,537","10,793,888"
Far West,"26,635,000","27,101,402","27,570,486","27,918,162","28,327,835","28,800,911","29,346,033","29,929,494","30,553,208","31,285,112","31,964,927","32,779,936","33,433,990","34,086,401","34,716,476","35,321,190","36,037,077","36,815,133","37,640,660","38,542,275","39,534,189","40,610,409","41,427,985","42,225,887","42,797,622","43,271,002","43,744,822","44,314,342","45,053,779","45,798,042","46,505,506","47,188,420","47,891,178","48,493,357","49,053,068","49,601,761","50,090,268","50,570,529","51,031,362","51,608,614","52,167,532"
