Vehicle,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Total
Nissan Pathfinder Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,334,"2,480","2,245",816,389,-,-,"6,264"
Subaru XV,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,926","5,589","2,173",45,-,572,"16,305"
Acura RLX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,133,250,199,292,690,451,"2,015"
Lexus NX Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,354,"2,573","2,842","3,323","9,062","9,649","27,803"
Toyota RAV4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,494","45,070","50,559","48,122","92,525","237,770"
Acura NSX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,269,581,170,238,"1,258"
Kia Niro,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"27,237","25,743","18,336","71,316"
Hyundai Ioniq Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"10,770","13,068","15,558","39,396"
Acura MDX Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,807","2,106","2,130","6,043"
GMC Sierra Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,643",114,"3,757"
Lexus LC500h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,102,37,139
Nissan Rogue Hybrid,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"3,363","4,205","7,568"
Lexus LS 500h,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,123,-,123
Lexus UX,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"8,603","8,603"
Toyota Corolla,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"16,299","16,299"
Total,17,"9,350","20,282","36,042","47,566","84,233","205,876","251,864","351,071","315,763","290,273","274,648","266,501","434,648","495,535","452,172","384,400","346,949","362,868","343,219","400,746","5,374,023"
