State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
KS,7019,7380,8042,8894,9484,9750,10502,10810,11913,12937,13864,14422,15370,16465,16685,17523,18080,18943,20488,20535,21840,22235,21828,22579,23235,23536,23834,24430,25829,25822,27149,28152,27069,28808,29614,30357,31291,32270,34140,33820,35921,35847,36714,36735,37127,39024,39751,40166,39965,38243,40421,40760,40293,39847,40562,39849,40810,40288,42037,41160
KY,28168,28103,27394,28140,27671,26821,26815,26732,29735,30442,31038,33310,37965,40214,40016,47081,52163,53359,49257,50428,49787,49819,47090,47161,52556,50568,49696,50787,54078,58487,61097,64194,67068,68149,72485,74548,77019,76836,75850,79098,78316,79975,87267,85220,86521,89351,88743,92404,93428,88897,93569,89538,89048,84764,78839,76039,74554,72634,76611,75345
LA,9859,10599,12449,13187,14401,15964,18233,20651,24015,26981,29401,31791,35903,38453,39164,36121,39821,44724,48282,50368,52877,57629,56694,55266,61127,60671,59292,59156,60011,61842,63826,64704,65098,67756,70132,72827,75269,75886,77716,78267,80690,74693,79261,77769,79737,77389,77468,79567,78726,78670,85080,86369,84731,85808,90628,91676,91453,91206,94186,93129
MA,12381,13143,13870,14544,15456,16719,18073,19561,21251,22925,24639,26383,28381,30617,29525,29479,31218,31498,32272,32941,33271,34164,34450,36002,37242,38119,40042,42383,44727,45683,45442,44797,44998,45281,46091,46510,47294,47882,48607,49407,51773,52496,53708,55514,56142,57228,55850,57139,55884,54359,57123,55570,55313,55265,54469,54621,53476,52513,53285,51337
MD,8756,9387,10093,10987,12176,13394,15088,16468,18322,20238,22506,24170,25266,27739,26861,27302,29932,31480,32450,33478,34586,35583,34947,36682,38374,39327,41961,44908,47564,49259,49534,51108,50989,53872,54752,56158,56998,56264,57834,59086,60678,61640,68380,71259,66892,68365,63173,65391,63326,62589,65335,63600,61814,61899,61684,61782,61354,59304,62086,60721
ME,2782,2937,3121,3230,3424,3758,3936,4004,4459,4806,5068,5317,5827,6132,6415,6532,7121,7571,7977,8072,8185,8239,8727,9437,9623,9824,10203,10718,11264,11434,11529,11383,11483,11952,11606,11561,11726,11959,11599,11944,12163,12152,11441,11972,12368,12363,12285,11860,11674,11283,11532,11415,11561,11855,12003,11888,11449,11214,12355,11732
MI,27599,28157,30819,33455,36236,39784,43731,45626,50027,53957,55292,59239,63761,68716,65868,64348,69756,72042,73504,73917,69681,69210,65635,69276,73313,74427,76253,78980,82517,82929,82367,84519,83840,87589,91160,94701,96302,97391,100506,103981,104772,102409,104714,108877,106606,110445,108018,109297,105781,98121,103649,105054,104818,103038,103314,102480,104468,101899,104869,101249
MN,8821,9493,10245,11044,11907,12766,14137,15427,17386,19187,20715,21660,23350,24640,24555,26313,27958,28054,31461,33253,32998,34771,33898,36008,38275,38664,38734,41775,45728,45932,47167,48755,47412,49211,51155,53959,54942,55674,56744,57399,59782,60687,62162,63087,63340,66019,66770,68231,68794,64004,67800,68533,67989,68644,68719,66579,66546,67153,68708,66966
MO,11429,11887,12950,14105,15194,16322,19242,20329,22331,24204,25779,27159,28705,30429,30306,33075,34016,36555,39452,40470,42652,42686,41916,45157,45408,46314,48274,50120,52247,52603,53925,56514,54411,58622,59693,62259,64843,65711,69010,69045,72643,73213,75001,74270,74054,80940,82015,85533,84382,79897,86085,84255,82435,83407,83878,81504,78618,76461,82056,78858
MS,5371,5800,6676,7429,8260,9191,10076,10898,12301,13498,15000,16178,17627,19238,18980,18887,19966,21369,22287,22174,23258,23377,22974,23699,25003,25726,26532,27186,28080,29574,32127,33019,33241,34749,36627,37868,39622,40089,42510,43980,45336,44287,45452,45544,46033,45901,46936,48153,47721,46049,49687,49338,48388,48782,49409,48692,49050,47829,50390,48951
