Vehicle,Type,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Hyundai Sonata,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17366.0,20754.0,21559.0,21052.0,19908.0,18961.0,10338.0,4526.0,2636.0
Buick LaCrosse,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1801.0,12010.0,7133.0,7353.0,4042.0,765.0,506.0,2809.0,1057.0
Buick Regal,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.0,2564.0,2893.0,662.0,186.0,45.0,6.0,0.0,0.0
Porsche Panamera S,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,570.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0
Kia Optima,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10245.0,13919.0,13776.0,11492.0,6142.0,5589.0,5924.0,1054.0
Acura ILX,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,972.0,1461.0,379.0,22.0,1.0,0.0,0.0,0.0
Ford C-Max Hybrid,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10935.0,28056.0,19162.0,14177.0,11877.0,10221.0,6101.0,38.0
Lexus ES Hybrid,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7027.0,16562.0,14837.0,11241.0,7645.0,5394.0,5250.0,8608.0
Audi Q5 Hybrid,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270.0,854.0,283.0,97.0,18.0,0.0,0.0,0.0
Toyota Avalon,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,747.0,16468.0,17048.0,11956.0,8451.0,4990.0,8008.0,6552.0
VW Jetta,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,5655.0,1939.0,740.0,709.0,70.0,1.0,0.0
Mercedes E400h,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,282.0,158.0,53.0,14.0,3.0,0.0,0.0
Infiniti Q50,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,3456.0,4012.0,1998.0,870.0,300.0,129.0
Chevrolet Impala Hybrid,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.0,565.0,272.0,35.0,1.0,0.0,0.0
Infiniti QX60,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,676.0,1678.0,2356.0,1114.0,298.0,0.0,0.0
Nissan Pathfinder Hybrid,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,2480.0,2245.0,816.0,389.0,0.0,0.0
Subaru XV,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7926.0,5589.0,2173.0,45.0,,572.0
Acura RLX,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,250.0,199.0,292.0,690.0,451.0
Lexus NX Hybrid,HEV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.0,2573.0,2842.0,3323.0,9062.0,9649.0
