Year,State,Attribute,Model Parameters,Prediction Years Out,Prediction,Confidence Interval,AIC,AICc,BIC,Actual,Error,Absolute Error
2017,SD,Total,"(0, 1, 0)",2,-85.20665261,[-85.20668032 -85.20662489],-47.56392159,-83.56392159,-52.4735667,79,-164.2066526,164.2066526
2017,TX,Total,"(0, 1, 0)",1,5218.584216,[5218.5841959 5218.5842351],-47.56392159,-83.56392159,-52.4735667,5419,-200.4157845,200.4157845
2017,TX,Total,"(1, 1, 0)",2,2468.276742,[2468.27671956 2468.27676432],-48.3086398,-84.3086398,-53.83199055,5419,-2950.723258,2950.723258
2017,WI,Total,"(0, 1, 0)",1,2478.03546,[2478.03543994 2478.03547914],-47.56392159,-83.56392159,-52.4735667,1576,902.0354595,902.0354595
2017,WI,Total,"(0, 1, 0)",2,3429.30778,[3429.30775193 3429.30780736],-47.56392159,-83.56392159,-52.4735667,1576,1853.30778,1853.30778
2018,AL,Total,"(2, 1, 0)",1,388.9021105,[388.90209087 388.90213007],-63.93224652,-100.5989132,-70.06930291,866,-477.0978895,477.0978895
2018,AL,Total,"(0, 1, 0)",2,363.3414415,[363.34141381 363.34146925],-47.56392159,-83.56392159,-52.4735667,866,-502.6585585,502.6585585
2018,AL,Total,"(0, 1, 0)",3,195.6970717,[195.69703774 195.69710563],-47.56392159,-83.56392159,-52.4735667,866,-670.3029283,670.3029283
2018,AR,Total,"(2, 1, 0)",1,158.2072614,[158.2072418 158.207281 ],-63.55878866,-100.2254553,-69.69584505,435,-276.7927386,276.7927386
2018,AR,Total,"(0, 1, 0)",2,198.8460735,[198.84604574 198.84610117],-47.56392159,-83.56392159,-52.4735667,435,-236.1539265,236.1539265
2018,AR,Total,"(0, 1, 0)",3,61.10195764,[61.10192369 61.10199159],-47.56392159,-83.56392159,-52.4735667,435,-373.8980424,373.8980424
2018,IA,Total,"(0, 1, 0)",1,589.385449,[589.38542938 589.38546858],-47.56392159,-83.56392159,-52.4735667,917,-327.614551,327.614551
2018,IA,Total,"(1, 1, 0)",2,364.1416044,[364.14158216 364.14162667],-49.35031564,-85.35031564,-54.87366639,917,-552.8583956,552.8583956
2018,IA,Total,"(1, 1, 0)",3,40.46157341,[40.46154622 40.46160061],-63.99627633,-99.99627633,-69.51962708,917,-876.5384266,876.5384266
2018,IL,Total,"(0, 1, 0)",1,6246.057372,[6246.05735252 6246.05739172],-47.56392159,-83.56392159,-52.4735667,7357,-1110.942628,1110.942628
2018,IL,Total,"(0, 1, 0)",2,3015.792014,[3015.79198656 3015.792042  ],-47.56392159,-83.56392159,-52.4735667,7357,-4341.207986,4341.207986
2018,IL,Total,"(2, 1, 0)",3,737.1079064,[737.10786992 737.10794282],-63.14922415,-99.81589082,-69.28628054,7357,-6619.892094,6619.892094
2018,IN,Total,"(2, 1, 0)",1,1010.835792,[1010.83577203 1010.83581123],-62.22733544,-98.8940021,-68.36439183,2036,-1025.164208,1025.164208
2018,IN,Total,"(0, 1, 0)",2,244.8481479,[244.84812014 244.84817557],-47.56392159,-83.56392159,-52.4735667,2036,-1791.151852,1791.151852
2018,IN,Total,"(2, 1, 0)",3,611.5059708,[611.50591772 611.5060239 ],-63.70196618,-100.3686328,-69.83902256,2036,-1424.494029,1424.494029
2018,KY,Total,"(0, 1, 0)",1,-288.9979387,[-288.99795826 -288.99791906],-47.56392159,-83.56392159,-52.4735667,787,-1075.997939,1075.997939
2018,KY,Total,"(0, 1, 0)",2,633.4783604,[633.47833269 633.47838812],-47.56392159,-83.56392159,-52.4735667,787,-153.5216396,153.5216396
2018,KY,Total,"(0, 1, 0)",3,103.8941993,[103.89416537 103.89423327],-47.56392159,-83.56392159,-52.4735667,787,-683.1058007,683.1058007
2018,LA,Total,"(1, 1, 0)",1,281.6640862,[281.66406659 281.66410579],-48.01301677,-84.01301677,-53.53636752,613,-331.3359138,331.3359138
2018,LA,Total,"(2, 1, 0)",2,181.2595608,[181.25954118 181.25958045],-63.98644106,-100.6531077,-70.12349745,613,-431.7404392,431.7404392
2018,LA,Total,"(0, 1, 0)",3,182.6645324,[182.66449842 182.66456632],-47.56392159,-83.56392159,-52.4735667,613,-430.3354676,430.3354676
2018,MI,Total,"(0, 1, 0)",1,2659.593947,[2659.59392729 2659.59396649],-47.56392159,-83.56392159,-52.4735667,3571,-911.4060531,911.4060531
2018,MI,Total,"(0, 1, 0)",2,8010.955769,[8010.95574144 8010.95579688],-47.56392142,-83.56392142,-52.47356653,3571,4439.955769,4439.955769
2018,MI,Total,"(1, 1, 0)",3,-4730.280151,[-4730.28017706 -4730.28012565],-65.84351612,-101.8435161,-71.36686687,3571,-8301.280151,8301.280151
2018,MN,Total,"(2, 1, 0)",1,440.1308315,[440.13081195 440.13085115],-63.70363564,-100.3703023,-69.84069203,2853,-2412.869168,2412.869168
2018,MN,Total,"(0, 1, 0)",2,2616.83938,[2616.83935203 2616.83940747],-47.56392159,-83.56392159,-52.4735667,2853,-236.1606202,236.1606202
2018,MN,Total,"(1, 1, 0)",3,706.8669161,[706.86689008 706.86694205],-66.86163504,-102.861635,-72.38498579,2853,-2146.133084,2146.133084
2018,MO,Total,"(0, 1, 0)",1,1462.388846,[1462.38882679 1462.38886598],-47.56392159,-83.56392159,-52.4735667,2268,-805.6111536,805.6111536
2018,MO,Total,"(2, 1, 0)",2,1242.305065,[1242.305045   1242.30508531],-62.11146047,-98.77812714,-68.24851686,2268,-1025.694935,1025.694935
2018,MO,Total,"(0, 1, 0)",3,1691.843231,[1691.8431967 1691.8432646],-47.56392159,-83.56392159,-52.4735667,2268,-576.1567694,576.1567694
2018,MS,Total,"(0, 1, 0)",1,58.38714551,[58.38712591 58.38716511],-47.56392159,-83.56392159,-52.4735667,231,-172.6128545,172.6128545
2018,MS,Total,"(0, 1, 0)",2,130.4004715,[130.40044375 130.40049919],-47.56392159,-83.56392159,-52.4735667,231,-100.5995285,100.5995285
2018,MS,Total,"(0, 1, 0)",3,118.1512637,[118.15122971 118.1512976 ],-47.56392159,-83.56392159,-52.4735667,231,-112.8487363,112.8487363
2018,ND,Total,"(2, 1, 0)",1,38.53087893,[38.53085934 38.53089853],-62.30760413,-98.97427079,-68.44466051,95,-56.46912107,56.46912107
2018,ND,Total,"(1, 1, 0)",2,64.53275459,[64.5327321  64.53277708],-47.88056719,-83.88056719,-53.40391794,95,-30.46724541,30.46724541
2018,ND,Total,"(1, 1, 0)",3,-303.2635766,[-303.26360233 -303.26355095],-65.82275157,-101.8227516,-71.34610232,95,-398.2635766,398.2635766
2018,SD,Total,"(1, 1, 0)",1,107.611281,[107.61126137 107.61130057],-48.70588229,-84.70588229,-54.22923304,135,-27.38871903,27.38871903
2018,SD,Total,"(0, 1, 0)",2,32.05137672,[32.051349   32.05140444],-47.56392159,-83.56392159,-52.4735667,135,-102.9486233,102.9486233
2018,SD,Total,"(0, 1, 0)",3,-140.8668943,[-140.86692827 -140.86686038],-47.56392159,-83.56392159,-52.4735667,135,-275.8668943,275.8668943
2018,TX,Total,"(0, 1, 0)",1,5804.345296,[5804.34527665 5804.34531585],-47.56392159,-83.56392159,-52.4735667,11764,-5959.654704,5959.654704
2018,TX,Total,"(0, 1, 0)",2,5956.125442,[5956.12541378 5956.12546922],-47.56392159,-83.56392159,-52.4735667,11764,-5807.874558,5807.874558
2018,TX,Total,"(1, 1, 0)",3,2143.577106,[2143.57707954 2143.57713314],-48.3086398,-84.3086398,-53.83199055,11764,-9620.422894,9620.422894
2018,WI,Total,"(2, 1, 0)",1,1961.856923,[1961.85690374 1961.85694294],-63.15216191,-99.81882857,-69.28921829,1956,5.856923343,5.856923343
2018,WI,Total,"(0, 1, 0)",2,3264.976735,[3264.97670687 3264.9767623 ],-47.56392159,-83.56392159,-52.4735667,1956,1308.976735,1308.976735
2018,WI,Total,"(0, 1, 0)",3,4828.317177,[4828.31714342 4828.31721132],-47.56392159,-83.56392159,-52.4735667,1956,2872.317177,2872.317177
2019,AL,Total,"(0, 1, 0)",1,1182.289185,[1182.28916525 1182.28920445],-47.56392159,-83.56392159,-52.4735667,1007,175.2891849,175.2891849
2019,AL,Total,"(2, 1, 0)",2,368.0599275,[368.05990216 368.05995284],-63.93224652,-100.5989132,-70.06930291,1007,-638.9400725,638.9400725
2019,AL,Total,"(0, 1, 0)",3,350.8711623,[350.87112836 350.87119626],-47.56392159,-83.56392159,-52.4735667,1007,-656.1288377,656.1288377
2019,AL,Total,"(0, 1, 0)",4,183.1211253,[183.12108607 183.12116447],-47.56392159,-83.56392159,-52.4735667,1007,-823.8788747,823.8788747
2019,AR,Total,"(0, 1, 0)",1,420.8367229,[420.83670332 420.83674252],-47.56392159,-83.56392159,-52.4735667,538,-117.1632771,117.1632771
2019,AR,Total,"(2, 1, 0)",2,95.72944708,[95.72941335 95.7294808 ],-63.55878866,-100.2254553,-69.69584505,538,-442.2705529,442.2705529
2019,AR,Total,"(0, 1, 0)",3,250.7760802,[250.77604621 250.7761141 ],-47.56392159,-83.56392159,-52.4735667,538,-287.2239198,287.2239198
2019,AR,Total,"(0, 1, 0)",4,71.28835555,[71.28831635 71.28839474],-47.56392159,-83.56392159,-52.4735667,538,-466.7116445,466.7116445
2019,IA,Total,"(0, 1, 0)",1,1551.885344,[1551.88532394 1551.88536314],-47.56392159,-83.56392159,-52.4735667,753,798.8853435,798.8853435
2019,IA,Total,"(0, 1, 0)",2,763.8208484,[763.82082067 763.82087611],-47.56392159,-83.56392159,-52.4735667,753,10.82084839,10.82084839
2019,IA,Total,"(1, 1, 0)",3,409.5587119,[409.55868517 409.55873854],-49.35031564,-85.35031564,-54.87366639,753,-343.4412881,343.4412881
2019,IA,Total,"(1, 1, 0)",4,-69.16272802,[-69.16275526 -69.16270079],-63.99627633,-99.99627633,-69.51962708,753,-822.162728,822.162728
2019,IL,Total,"(1, 1, 0)",1,11634.45835,[11634.45833131 11634.45837051],-65.82231269,-101.8223127,-71.34566344,7630,4004.458351,4004.458351
2019,IL,Total,"(0, 1, 0)",2,11478.41838,[11478.41835714 11478.41841258],-47.56392159,-83.56392159,-52.4735667,7630,3848.418385,3848.418385
2019,IL,Total,"(0, 1, 0)",3,2749.062478,[2749.06244376 2749.06251166],-47.56392159,-83.56392159,-52.4735667,7630,-4880.937522,4880.937522
2019,IL,Total,"(2, 1, 0)",4,-326.5222762,[-326.52231333 -326.52223902],-63.14922415,-99.81589082,-69.28628054,7630,-7956.522276,7956.522276
2019,IN,Total,"(0, 1, 0)",1,2745.314946,[2745.31492677 2745.31496596],-47.56392159,-83.56392159,-52.4735667,2207,538.3149464,538.3149464
2019,IN,Total,"(2, 1, 0)",2,1024.007803,[1024.00777382 1024.00783164],-62.22733544,-98.8940021,-68.36439183,2207,-1182.992197,1182.992197
2019,IN,Total,"(0, 1, 0)",3,115.7862544,[115.78622044 115.78628834],-47.56392159,-83.56392159,-52.4735667,2207,-2091.213746,2091.213746
2019,IN,Total,"(2, 1, 0)",4,549.171912,[549.17184154 549.17198252],-63.70196618,-100.3686328,-69.83902256,2207,-1657.828088,1657.828088
2019,KY,Total,"(0, 1, 0)",1,1403.23418,[1403.23415999 1403.23419919],-47.56392159,-83.56392159,-52.4735667,804,599.2341796,599.2341796
2019,KY,Total,"(0, 1, 0)",2,-638.7330758,[-638.73310352 -638.73304809],-47.56392159,-83.56392159,-52.4735667,804,-1442.733076,1442.733076
2019,KY,Total,"(0, 1, 0)",3,831.5073328,[831.50729882 831.50736671],-47.56392159,-83.56392159,-52.4735667,804,27.50733277,27.50733277
2019,KY,Total,"(0, 1, 0)",4,78.71666287,[78.71662367 78.71670207],-47.56392159,-83.56392159,-52.4735667,804,-725.2833371,725.2833371
2019,LA,Total,"(0, 1, 0)",1,798.3708818,[798.37086224 798.37090144],-47.56392159,-83.56392159,-52.4735667,720,78.37088184,78.37088184
2019,LA,Total,"(1, 1, 0)",2,274.9859496,[274.98592716 274.98597205],-48.01301677,-84.01301677,-53.53636752,720,-445.0140504,445.0140504
2019,LA,Total,"(2, 1, 0)",3,63.19488041,[63.19485635 63.19490446],-63.98644106,-100.6531077,-70.12349745,720,-656.8051196,656.8051196
2019,LA,Total,"(0, 1, 0)",4,155.1235117,[155.12347255 155.12355095],-47.56392159,-83.56392159,-52.4735667,720,-564.8764883,564.8764883
2019,MI,Total,"(0, 1, 0)",1,4496.730618,[4496.7305982 4496.7306374],-47.56392159,-83.56392159,-52.4735667,1830,2666.730618,2666.730618
2019,MI,Total,"(0, 1, 0)",2,2618.525484,[2618.52545603 2618.52551146],-47.56392159,-83.56392159,-52.4735667,1830,788.5254837,788.5254837
2019,MI,Total,"(0, 1, 0)",3,16363.8307,[16363.83066755 16363.83073545],-47.56392142,-83.56392142,-52.47356653,1830,14533.8307,14533.8307
2019,MI,Total,"(1, 1, 0)",4,-7963.286545,[-7963.28657226 -7963.28651847],-65.84351612,-101.8435161,-71.36686687,1830,-9793.286545,9793.286545
2019,MN,Total,"(0, 1, 0)",1,4134.46608,[4134.46606059 4134.46609979],-47.56392159,-83.56392159,-52.4735667,3640,494.4660802,494.4660802
2019,MN,Total,"(2, 1, 0)",2,-761.3798038,[-761.37982549 -761.37978214],-63.70363564,-100.3703023,-69.84069203,3640,-4401.379804,4401.379804
2019,MN,Total,"(0, 1, 0)",3,3414.891111,[3414.89107693 3414.89114482],-47.56392159,-83.56392159,-52.4735667,3640,-225.1088891,225.1088891
2019,MN,Total,"(1, 1, 0)",4,732.0867143,[732.08668762 732.08674093],-66.86163504,-102.861635,-72.38498579,3640,-2907.913286,2907.913286
2019,MO,Total,"(1, 1, 0)",1,2965.143061,[2965.14304179 2965.14308099],-65.84245081,-101.8424508,-71.36580156,2053,912.1430614,912.1430614
2019,MO,Total,"(0, 1, 0)",2,1764.034526,[1764.03449821 1764.03455365],-47.56392159,-83.56392159,-52.4735667,2053,-288.9654741,288.9654741
2019,MO,Total,"(2, 1, 0)",3,1427.10051,[1427.1004824  1427.10053796],-62.11146047,-98.77812714,-68.24851686,2053,-625.8994898,625.8994898
2019,MO,Total,"(0, 1, 0)",4,2074.021503,[2074.0214636  2074.02154199],-47.56392159,-83.56392159,-52.4735667,2053,21.02150279,21.02150279
2019,MS,Total,"(2, 1, 0)",1,429.335945,[429.33592543 429.33596463],-62.37854753,-99.0452142,-68.51560392,273,156.335945,156.335945
2019,MS,Total,"(0, 1, 0)",2,41.05567614,[41.05564842 41.05570386],-47.56392159,-83.56392159,-52.4735667,273,-231.9443239,231.9443239
2019,MS,Total,"(0, 1, 0)",3,170.433239,[170.43320503 170.43327292],-47.56392159,-83.56392159,-52.4735667,273,-102.566761,102.566761
2019,MS,Total,"(0, 1, 0)",4,124.9982688,[124.99822956 124.99830796],-47.56392159,-83.56392159,-52.4735667,273,-148.0017312,148.0017312
