Year,Transportation Energy Use,Total Energy Use,Renewable Energy Use,Population,Median Income,Gasoline Price,Gasoline Price Percent Accuracy,Median Income Percent Accuracy,Population Percent Accuracy,Renewable Energy Use Percent Accuracy,Total Energy Use Percent Accuracy,Transportation Energy Use Percent Accuracy
2018,653023.972640501,92803.61382565105,300130.3936448156,6693428.9907305185,21886.1255330753,19.282610517241988,9.384142045727913,9.234675160288342,37.62407932043511,29.703247225824537,25.19427759628144,31.589157558759425
2019,657371.8064427698,93624.7899724114,314440.4756938823,6718651.18622553,20823.923968933836,19.25488514486313,4.233827138769849,13.639119274307692,37.79015360484323,35.75239947930017,24.891800961102753,30.88596853104474
2020,662115.2574663946,94397.08336072686,327286.23775642714,6743275.630343678,19731.367874963245,19.25488514486313,,16.150862702027748,,,,
